Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:32:20

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
                   |              | 29:42              | 11.00       
                   |              | 29:42              | 9.00        
                   |              | 29:42              | 9.00        
                   |              | 29:42              | 10.00       
                   |              | 29:42              | 9.00        
                   |              | 29:42              | 8.00        
                   |              | 29:42              | 3.00        
                   |              | 29:43              | 3.00        
                   |              | 29:43              | 2.00        
                   |              | 29:43              | 2.00        
                   |              | 29:43              | 1.00        
                   |              | 29:43              | 1.00        
                   |              | 29:43              | 0.00        
                   |              | 29:44              | 0.00        
                   |              | 29:44              | 1.00        
                   |              | 29:44              | 2.00        
                   |              | 29:44              | 3.00        
                   |              | 29:44              | 3.00        
                   |              | 29:44              | 4.00        
                   |              | 29:44              | 4.00        
                   |              | 29:44              | 5.00        
                   |              | 29:44              | 5.00        
                   |              | 29:45              | 4.00        
                   |              | 29:45              | 4.00        
                   |              | 29:45              | 3.00        
                   |              | 29:45              | 3.00        
                   |              | 29:45              | 2.00        
                   |              | 29:46              | 2.00        
                   |              | 29:46              | 3.00        
                   |              | 29:46              | 4.00        
                   |              | 29:46              | 3.00        
                   |              | 29:46              | 4.00        
                   |              | 29:46              | 4.00        
                   |              | 29:46              | 5.00        
                   |              | 29:46              | 2.00        
                   |              | 29:47              | 3.00        
                   |              | 29:47              | 4.00        
                   |              | 29:47              | 4.00        
                   |              | 29:47              | 5.00        
                   |              | 29:47              | 5.00        
                   |              | 29:47              | 6.00        
                   |              | 29:47              | 7.00        
                   |              | 29:48              | 7.00        
                   |              | 29:48              | 8.00        
                   |              | 29:48              | 9.00        
                   |              | 29:49              | 8.00        
                   |              | 29:50              | 7.00        
                   |              | 29:50              | 7.00        
                   |              | 29:51              | 6.00        
                   |              | 29:51              | 6.00        
                   |              | 29:53              | 7.00        
                   |              | 29:53              | 7.00        
                   |              | 29:53              | 6.00        
                   |              | 29:54              | 6.00        
                   |              | 29:54              | 5.00        
                   |              | 29:54              | 5.00        
                   |              | 29:54              | 4.00        
                   |              | 29:54              | 5.00        
                   |              | 29:54              | 4.00        
                   |              | 29:54              | 4.00        
                   |              | 29:54              | 3.00        
                   |              | 29:54              | 3.00        
                   |              | 29:54              | 4.00        
                   |              | 29:55              | 4.00        
                   |              | 29:55              | 3.00        
                   |              | 29:55              | 3.00        
                   |              | 29:55              | 2.00        
                   |              | 29:55              | 2.00        
                   |              | 29:55              | 3.00        
                   |              | 29:55              | 2.00        
                   |              | 29:55              | 2.00        
                   |              | 29:56              | 2.00        
                   |              | 29:56              | 1.00        
                   |              | 29:56              | 1.00        
                   |              | 29:56              | 0.00        
                   |              | 29:56              | 0.00        
                   |              | 29:57              | 1.00        
                   |              | 29:58              | 4.00        
                   |              | 29:58              | 3.00        
                   |              | 29:58              | 3.00        
                   |              | 29:58              | 6.00        
                   |              | 29:58              | 6.00        
                   |              | 29:58              | 7.00        
                   |              | 29:58              | 6.00        
                   |              | 29:59              | 9.00        
                   |              | 29:59              | 8.00        
                   |              | 29:59              | 7.00        
                   |              | 29:59              | 6.00        
                   |              | 29:59              | 5.00        
                   |              | 29:59              | 4.00        
                   |              | 29:59              | 3.00        
                   |              | 29:59              | 3.00        
                   |              | 29:59              | 2.00        
                   |              | 29:59              | 4.00        
                   |              | 29:59              | 3.00        
                   |              | 30:00              | 3.00        
                   |              | 30:00              | 4.00        
                   |              | 30:00              | 4.00        
                   |              | 30:00              | 5.00        
                   |              | 30:00              | 5.00        
                   |              | 30:01              | 6.00        
                   |              | 30:01              | 6.00        
                   |              | 30:01              | 7.00        
                   |              | 30:01              | 7.00        
                   |              | 30:02              | 6.00        
                   |              | 30:02              | 6.00        
                   |              | 30:02              | 5.00        
                   |              | 30:02              | 5.00        
                   |              | 30:03              | 4.00        
                   |              | 30:03              | 3.00        
                   |              | 30:03              | 2.00        
                   |              | 30:03              | 3.00        
                   |              | 30:04              | 7.00        
                   |              | 30:04              | 7.00        
                   |              | 30:04              | 6.00        
                   |              | 30:04              | 5.00        
                   |              | 30:04              | 7.00        
                   |              | 30:04              | 7.00        
                   |              | 30:06              | 1.00        
                   |              | 30:08              | 0.00        
                   |              | 30:08              | 0.00        
                   |              | 30:09              | 2.00        
                   |              | 30:10              | 0.00        
                   |              | 30:10              | 1.00        
                   |              | 30:10              | 1.00        
                   |              | 30:10              | 0.00        
                   |              | 30:11              | 0.00        
                   |              | 30:11              | 1.00        
                   |              | 30:11              | 1.00        
                   |              | 30:12              | 2.00        
                   |              | 30:13              | 2.00        
                   |              | 30:13              | 1.00        
                   |              | 30:13              | 1.00        
                   |              | 30:13              | 0.00        
                   |              | 30:14              | 0.00        
                   |              | 30:16              | 1.00        
                   |              | 30:16              | 1.00        
                   |              | 30:16              | 0.00        
                   |              | 30:16              | 0.00        
                   |              | 30:17              | 2.00        
                   |              | 30:17              | 2.00        
                   |              | 30:17              | 3.00        
                   |              | 30:17              | 3.00        
                   |              | 30:17              | 2.00        
                   |              | 30:17              | 2.00        
                   |              | 30:17              | 3.00        
                   |              | 30:17              | 2.00        
                   |              | 30:17              | 1.00        
                   |              | 30:17              | 1.00        
                   |              | 30:17              | 0.00        
                   |              | 30:18              | 0.00        
                   |              | 30:18              | 1.00        
                   |              | 30:18              | 1.00        
                   |              | 30:18              | 0.00        
                   |              | 30:18              | 0.00        
                   |              | 30:18              | 1.00        
                   |              | 30:18              | 1.00        
                   |              | 30:20              | 0.00        
                   |              | 30:20              | 1.00        
                   |              | 30:20              | 2.00        
                   |              | 30:20              | 2.00        
                   |              | 30:21              | 1.00        
                   |              | 30:21              | 2.00        
                   |              | 30:21              | 1.00        
                   |              | 30:21              | 1.00        
                   |              | 30:22              | 0.00        
                   |              | 30:22              | 0.00        
                   |              | 30:24              | 1.00        
                   |              | 30:24              | 1.00        
                   |              | 30:25              | 2.00        
                   |              | 30:25              | 2.00        
                   |              | 30:25              | 3.00        
                   |              | 30:25              | 3.00        
                   |              | 30:25              | 4.00        
                   |              | 30:25              | 4.00        
                   |              | 30:25              | 5.00        
                   |              | 30:25              | 5.00        
                   |              | 30:25              | 6.00        
                   |              | 30:25              | 6.00        
                   |              | 30:26              | 7.00        
                   |              | 30:26              | 7.00        
                   |              | 30:26              | 6.00        
                   |              | 30:26              | 6.00        
                   |              | 30:26              | 5.00        
                   |              | 30:26              | 5.00        
                   |              | 30:26              | 4.00        
                   |              | 30:26              | 4.00        
                   |              | 30:27              | 3.00        
                   |              | 30:27              | 3.00        
                   |              | 30:27              | 2.00        
                   |              | 30:27              | 2.00        
                   |              | 30:27              | 1.00        
                   |              | 30:27              | 1.00        
                   |              | 30:27              | 2.00        
                   |              | 30:27              | 1.00        
                   |              | 30:28              | 0.00        
                   |              | 30:28              | 0.00        
                   |              | 30:28              | 1.00        
                   |              | 30:28              | 1.00        
                   |              | 30:28              | 2.00        
                   |              | 30:28              | 2.00        
                   |              | 30:28              | 3.00        
                   |              | 30:28              | 3.00        
                   |              | 30:28              | 4.00        
                   |              | 30:28              | 4.00        
                   |              | 30:28              | 5.00        
                   |              | 30:30              | 7.00        
                   |              | 30:31              | 6.00        
                   |              | 30:31              | 5.00        
                   |              | 30:31              | 5.00        
                   |              | 30:31              | 4.00        
